iter	Logloss
0	0.6815881418
1	0.6704989027
2	0.6560720941
3	0.6436211027
4	0.6341167926
5	0.6246707209
6	0.6135071406
7	0.6050725198
8	0.5975329223
9	0.5878114508
10	0.579041316
11	0.5714808002
12	0.5647878883
13	0.5580425629
14	0.5493539548
15	0.5416198135
16	0.5356827957
17	0.5264883373
18	0.5210658501
19	0.5154426387
20	0.5086130387
21	0.5031294052
22	0.4991527576
23	0.494550048
24	0.4887370279
25	0.4844080232
26	0.4788096002
27	0.4719668913
28	0.4669185687
29	0.4619668291
30	0.4570842946
31	0.4536362523
32	0.4508062137
33	0.4475298545
34	0.4435240848
35	0.4403057157
36	0.4374212815
37	0.4342185013
38	0.4312703834
39	0.4282710328
40	0.4253850298
41	0.4225714113
42	0.4195620657
43	0.416579006
44	0.4141216789
45	0.4098973124
46	0.4074746558
47	0.4048217082
48	0.4033224041
49	0.3997148993
50	0.3976167989
51	0.3949881177
52	0.3924428957
53	0.3901529952
54	0.3879836544
55	0.3854169166
56	0.3839378079
57	0.3817484581
58	0.3799730554
59	0.3783246366
60	0.3772317649
61	0.3753603818
62	0.3741700088
63	0.3723480397
64	0.3702910957
65	0.369217592
66	0.36781353
67	0.3665420234
68	0.3654798965
69	0.3638674437
70	0.362516016
71	0.3615851404
72	0.3607328019
73	0.3600570864
74	0.3591621853
75	0.3581866305
76	0.3569840135
77	0.3554792798
78	0.3538670826
79	0.352279706
80	0.3517350225
81	0.3507878354
82	0.3498228641
83	0.3490199278
84	0.3482845052
85	0.34675325
86	0.3452105355
87	0.3438335297
88	0.3423716441
89	0.3414499064
90	0.3405389894
91	0.3396123328
92	0.3387262959
93	0.3380103245
94	0.3367705489
95	0.3360108818
96	0.3354825886
97	0.3347589544
98	0.3340016864
99	0.3330408842
100	0.3323123862
101	0.3317020769
102	0.3307911653
103	0.3299955016
104	0.3290632746
105	0.3282018939
106	0.3274084577
107	0.3268446382
108	0.3264165812
109	0.325851889
110	0.3254379366
111	0.3248250683
112	0.3242630995
113	0.3231390044
114	0.3226739299
115	0.3215173527
116	0.3207324844
117	0.3201764339
118	0.3198006467
119	0.3189979462
120	0.318253124
121	0.3177986874
122	0.317307793
123	0.3165288802
124	0.3157428239
125	0.3150170382
126	0.3145250519
127	0.3139688142
128	0.3136092386
129	0.3131326663
130	0.312772258
131	0.3121922552
132	0.3113901542
133	0.3109143255
134	0.3105645432
135	0.3099345336
136	0.3094676527
137	0.3088602536
138	0.3082679504
139	0.3078170399
140	0.307332373
141	0.3070590145
142	0.3068092921
143	0.3061431285
144	0.3058882667
145	0.3054942129
146	0.3050464626
147	0.304709875
148	0.3041522116
149	0.3038148124
150	0.303628318
151	0.3033451471
152	0.302735688
153	0.3023288217
154	0.3020448897
155	0.3015416447
156	0.301259865
157	0.3010018201
158	0.3008113712
159	0.3006128905
160	0.3002598711
161	0.2999589479
162	0.2996076559
163	0.2991154956
164	0.2989678919
165	0.298542255
166	0.2981709121
167	0.298039333
168	0.2978017874
169	0.2975716516
170	0.2973971489
171	0.2971896157
172	0.2969078148
173	0.2965926942
174	0.2964086662
175	0.2962644431
176	0.2961084022
177	0.2958654333
178	0.2957006694
179	0.2954178688
180	0.2952124
181	0.2950124684
182	0.2946816002
183	0.2941713361
184	0.2937323656
185	0.2934335036
186	0.2931515807
187	0.2929854458
188	0.2927885348
189	0.2926481185
190	0.2922491526
191	0.2920673114
192	0.291951157
193	0.2917954196
194	0.2915431384
195	0.2914287076
196	0.2913055721
197	0.2909813735
198	0.2906991479
199	0.2905555609
200	0.2903487997
201	0.2902443804
202	0.2900671996
203	0.2897191618
204	0.2894906922
205	0.2892294942
206	0.2890741197
207	0.2890025443
208	0.2889625574
209	0.2887229136
210	0.2886367837
211	0.2885404368
212	0.28847814
213	0.2882067394
214	0.2881048372
215	0.2878255636
216	0.2877343111
217	0.2875293792
218	0.2872860979
219	0.2871791978
220	0.2870590379
221	0.286795778
222	0.2866013513
223	0.2865566409
224	0.2864637357
225	0.28612548
226	0.2860867155
227	0.2859279094
228	0.2858378959
229	0.2857481187
230	0.2854649033
231	0.2853897708
232	0.2852953683
233	0.2852380131
234	0.2850947483
235	0.2850725653
236	0.2848351338
237	0.2846689155
238	0.2843094663
239	0.2842510842
240	0.2841342577
241	0.2841005837
242	0.2840619199
243	0.2840146759
244	0.2838368561
245	0.2837987781
246	0.2836250477
247	0.2834910695
248	0.2834188874
249	0.2833368369
250	0.2831822453
251	0.2831089663
252	0.2828150531
253	0.2826496161
254	0.2824377451
255	0.2822553915
256	0.2817796701
257	0.2815896707
258	0.2814939306
259	0.2814583885
260	0.2813436028
261	0.2810487393
262	0.2810025011
263	0.2808331239
264	0.2807062759
265	0.280574685
266	0.2804375967
267	0.2802772626
268	0.2802510239
269	0.2802071828
270	0.2800838861
271	0.2799254734
272	0.2797227515
273	0.2796857321
274	0.2796395861
275	0.2795856869
276	0.2795079255
277	0.2794279055
278	0.2793247404
279	0.279219759
280	0.2789108563
281	0.2788509246
282	0.2786618629
283	0.2786354903
284	0.2784916694
285	0.2784583101
286	0.278279016
287	0.2780905292
288	0.2780679743
289	0.2779845907
290	0.2779586098
291	0.27779113
292	0.2777262475
293	0.2776956224
294	0.2772196194
295	0.2770233339
296	0.2769656612
297	0.2768920073
298	0.2767530648
299	0.2765563436
300	0.2765218085
301	0.2764642938
302	0.2763902224
303	0.276239791
304	0.2762188821
305	0.2761728735
306	0.2761422917
307	0.2760063412
308	0.2758081506
309	0.2757524386
310	0.2752969979
311	0.2752632629
312	0.2750718185
313	0.2750398619
314	0.2749842991
315	0.274894533
316	0.2745523043
317	0.2744069466
318	0.2743526476
319	0.2743005551
320	0.2741658325
321	0.2739611944
322	0.2739377214
323	0.273897067
324	0.2738660368
325	0.2737094409
326	0.2735376701
327	0.2734382884
328	0.2732373837
329	0.2731352862
330	0.2731052591
331	0.2728146075
332	0.2727750719
333	0.2726258227
334	0.272547085
335	0.2724483912
336	0.272391703
337	0.2721922707
338	0.272108925
339	0.2718677419
340	0.2718390731
341	0.2718108896
342	0.2717893656
343	0.2717520035
344	0.2717146923
345	0.271564864
346	0.2715400927
347	0.271427491
348	0.271304661
349	0.2712037752
350	0.2711142332
351	0.2710836383
352	0.2709565636
353	0.2709182838
354	0.2708579979
355	0.2708246409
356	0.2707955277
357	0.270717626
358	0.2706786501
359	0.2706267457
360	0.2705505293
361	0.2705232816
362	0.2704570436
363	0.2704200457
364	0.2703831268
365	0.2702944143
366	0.2702433695
367	0.2702076749
368	0.2701831603
369	0.2700173281
370	0.2699772942
371	0.2699341414
372	0.2698969483
373	0.2698666312
374	0.2698398063
375	0.2698015078
376	0.2697742974
377	0.2697452327
378	0.269716044
379	0.2696879063
380	0.2696582423
381	0.26960872
382	0.2695775255
383	0.2695396774
384	0.2693729147
385	0.2693321388
386	0.2692610583
387	0.2691623544
388	0.2691146977
389	0.26906146
390	0.2689247826
391	0.2688508546
